Mortgage monthly repayments,dollars,%,Suburb
Households with mortgage repayments greater than 30% of household income,--,5.2,Merimbula - Tura Beach
Median mortgage repayments,"1,353",--,Moruya - Tuross Head
Households where mortgage repayments are less than 30% of household income,--,94.1,Moruya - Tuross Head
Households with mortgage repayments greater than 30% of household income,--,5.9,Moruya - Tuross Head
Median mortgage repayments,"1,300",--,Narooma - Bermagui
Households where mortgage repayments are less than 30% of household income,--,94.7,Narooma - Bermagui
Households with mortgage repayments greater than 30% of household income,--,5.3,Narooma - Bermagui
Median mortgage repayments,"1,517",--,Goulburn
Households where mortgage repayments are less than 30% of household income,--,94.9,Goulburn
Households with mortgage repayments greater than 30% of household income,--,5.1,Goulburn
Median mortgage repayments,"1,600",--,Goulburn Region
Households where mortgage repayments are less than 30% of household income,--,92.6,Goulburn Region
Households with mortgage repayments greater than 30% of household income,--,7.4,Goulburn Region
Median mortgage repayments,"1,763",--,Yass
Households where mortgage repayments are less than 30% of household income,--,94.3,Yass
Households with mortgage repayments greater than 30% of household income,--,5.7,Yass
Median mortgage repayments,"2,024",--,Yass Region
Households where mortgage repayments are less than 30% of household income,--,92.7,Yass Region
Households with mortgage repayments greater than 30% of household income,--,7.3,Yass Region
Median mortgage repayments,"1,300",--,Young
Households where mortgage repayments are less than 30% of household income,--,94.4,Young
Households with mortgage repayments greater than 30% of household income,--,5.6,Young
Median mortgage repayments,"1,040",--,Young Region
Households where mortgage repayments are less than 30% of household income,--,96.2,Young Region
Households with mortgage repayments greater than 30% of household income,--,3.8,Young Region
Median mortgage repayments,"2,167",--,Avoca Beach - Copacabana
Households where mortgage repayments are less than 30% of household income,--,91.7,Avoca Beach - Copacabana
Households with mortgage repayments greater than 30% of household income,--,8.3,Avoca Beach - Copacabana
Median mortgage repayments,"2,000",--,Box Head - MacMasters Beach
Households where mortgage repayments are less than 30% of household income,--,92.7,Box Head - MacMasters Beach
Households with mortgage repayments greater than 30% of household income,--,7.3,Box Head - MacMasters Beach
Median mortgage repayments,"1,850",--,Calga - Kulnura
Households where mortgage repayments are less than 30% of household income,--,91.2,Calga - Kulnura
Households with mortgage repayments greater than 30% of household income,--,8.8,Calga - Kulnura
Median mortgage repayments,"2,000",--,Erina - Green Point
Households where mortgage repayments are less than 30% of household income,--,93.9,Erina - Green Point
Households with mortgage repayments greater than 30% of household income,--,6.1,Erina - Green Point
Median mortgage repayments,"1,733",--,Gosford - Springfield
Households where mortgage repayments are less than 30% of household income,--,94.5,Gosford - Springfield
Households with mortgage repayments greater than 30% of household income,--,5.5,Gosford - Springfield
Median mortgage repayments,"1,950",--,Kariong
Households where mortgage repayments are less than 30% of household income,--,90.8,Kariong
Households with mortgage repayments greater than 30% of household income,--,9.2,Kariong
Median mortgage repayments,"1,899",--,Kincumber - Picketts Valley
Households where mortgage repayments are less than 30% of household income,--,93.2,Kincumber - Picketts Valley
Households with mortgage repayments greater than 30% of household income,--,6.8,Kincumber - Picketts Valley
Median mortgage repayments,"1,733",--,Narara
Households where mortgage repayments are less than 30% of household income,--,90.7,Narara
Households with mortgage repayments greater than 30% of household income,--,9.3,Narara
Median mortgage repayments,"1,800",--,Niagara Park - Lisarow
Households where mortgage repayments are less than 30% of household income,--,91.2,Niagara Park - Lisarow
Households with mortgage repayments greater than 30% of household income,--,8.8,Niagara Park - Lisarow
Median mortgage repayments,"1,820",--,Point Clare - Koolewong
Households where mortgage repayments are less than 30% of household income,--,92.8,Point Clare - Koolewong
Households with mortgage repayments greater than 30% of household income,--,7.2,Point Clare - Koolewong
Median mortgage repayments,"2,000",--,Saratoga - Davistown
Households where mortgage repayments are less than 30% of household income,--,91.8,Saratoga - Davistown
Households with mortgage repayments greater than 30% of household income,--,8.2,Saratoga - Davistown
Median mortgage repayments,"2,167",--,Terrigal - North Avoca
Households where mortgage repayments are less than 30% of household income,--,93.0,Terrigal - North Avoca
Households with mortgage repayments greater than 30% of household income,--,7.0,Terrigal - North Avoca
Median mortgage repayments,"1,750",--,Umina - Booker Bay - Patonga
Households where mortgage repayments are less than 30% of household income,--,94.5,Umina - Booker Bay - Patonga
Households with mortgage repayments greater than 30% of household income,--,5.5,Umina - Booker Bay - Patonga
Median mortgage repayments,"2,167",--,Wamberal - Forresters Beach
Households where mortgage repayments are less than 30% of household income,--,91.5,Wamberal - Forresters Beach
Households with mortgage repayments greater than 30% of household income,--,8.5,Wamberal - Forresters Beach
Median mortgage repayments,"1,733",--,Woy Woy - Blackwall
Households where mortgage repayments are less than 30% of household income,--,94.4,Woy Woy - Blackwall
Households with mortgage repayments greater than 30% of household income,--,5.6,Woy Woy - Blackwall
Median mortgage repayments,"1,733",--,Wyoming
Households where mortgage repayments are less than 30% of household income,--,92.2,Wyoming
Households with mortgage repayments greater than 30% of household income,--,7.8,Wyoming
Median mortgage repayments,"1,733",--,Bateau Bay - Killarney Vale
Households where mortgage repayments are less than 30% of household income,--,92.4,Bateau Bay - Killarney Vale
Households with mortgage repayments greater than 30% of household income,--,7.6,Bateau Bay - Killarney Vale
Median mortgage repayments,"1,600",--,Blue Haven - San Remo
Households where mortgage repayments are less than 30% of household income,--,90.6,Blue Haven - San Remo
Households with mortgage repayments greater than 30% of household income,--,9.4,Blue Haven - San Remo
Median mortgage repayments,"1,560",--,Budgewoi - Buff Point - Halekulani
Households where mortgage repayments are less than 30% of household income,--,92.6,Budgewoi - Buff Point - Halekulani
Households with mortgage repayments greater than 30% of household income,--,7.4,Budgewoi - Buff Point - Halekulani
Median mortgage repayments,"1,764",--,Chittaway Bay - Tumbi Umbi
Households where mortgage repayments are less than 30% of household income,--,91.8,Chittaway Bay - Tumbi Umbi
Households with mortgage repayments greater than 30% of household income,--,8.2,Chittaway Bay - Tumbi Umbi
Median mortgage repayments,"1,517",--,Gorokan - Kanwal - Charmhaven
Households where mortgage repayments are less than 30% of household income,--,93.2,Gorokan - Kanwal - Charmhaven
Households with mortgage repayments greater than 30% of household income,--,6.8,Gorokan - Kanwal - Charmhaven
Median mortgage repayments,"2,200",--,Jilliby - Yarramalong
Households where mortgage repayments are less than 30% of household income,--,87.6,Jilliby - Yarramalong
Households with mortgage repayments greater than 30% of household income,--,12.4,Jilliby - Yarramalong
Median mortgage repayments,"1,521",--,Lake Munmorah - Mannering Park
Households where mortgage repayments are less than 30% of household income,--,94.2,Lake Munmorah - Mannering Park
Households with mortgage repayments greater than 30% of household income,--,5.8,Lake Munmorah - Mannering Park
Median mortgage repayments,"1,800",--,Ourimbah - Fountaindale
Households where mortgage repayments are less than 30% of household income,--,91.7,Ourimbah - Fountaindale
Households with mortgage repayments greater than 30% of household income,--,8.3,Ourimbah - Fountaindale
Median mortgage repayments,"1,600",--,Summerland Point - Gwandalan
Households where mortgage repayments are less than 30% of household income,--,92.1,Summerland Point - Gwandalan
Households with mortgage repayments greater than 30% of household income,--,7.9,Summerland Point - Gwandalan
Median mortgage repayments,"1,785",--,The Entrance
Households where mortgage repayments are less than 30% of household income,--,95.4,The Entrance
Households with mortgage repayments greater than 30% of household income,--,4.6,The Entrance
Median mortgage repayments,"1,700",--,Toukley - Norah Head
Households where mortgage repayments are less than 30% of household income,--,94.8,Toukley - Norah Head
Households with mortgage repayments greater than 30% of household income,--,5.2,Toukley - Norah Head
Median mortgage repayments,"1,800",--,Tuggerah - Kangy Angy
Households where mortgage repayments are less than 30% of household income,--,91.9,Tuggerah - Kangy Angy
Households with mortgage repayments greater than 30% of household income,--,8.1,Tuggerah - Kangy Angy
Median mortgage repayments,"2,037",--,Warnervale - Wadalba
Households where mortgage repayments are less than 30% of household income,--,91.6,Warnervale - Wadalba
Households with mortgage repayments greater than 30% of household income,--,8.4,Warnervale - Wadalba
Median mortgage repayments,"1,603",--,Wyong
Households where mortgage repayments are less than 30% of household income,--,94.6,Wyong
Households with mortgage repayments greater than 30% of household income,--,5.4,Wyong
Median mortgage repayments,"1,578",--,Bathurst
Households where mortgage repayments are less than 30% of household income,--,95.4,Bathurst
Households with mortgage repayments greater than 30% of household income,--,4.6,Bathurst
Median mortgage repayments,"1,785",--,Bathurst - East
Households where mortgage repayments are less than 30% of household income,--,93.5,Bathurst - East
Households with mortgage repayments greater than 30% of household income,--,6.5,Bathurst - East
Median mortgage repayments,"1,696",--,Bathurst Region
Households where mortgage repayments are less than 30% of household income,--,91.1,Bathurst Region
Households with mortgage repayments greater than 30% of household income,--,8.9,Bathurst Region
Median mortgage repayments,"1,349",--,Oberon
Households where mortgage repayments are less than 30% of household income,--,95.5,Oberon
Households with mortgage repayments greater than 30% of household income,--,4.5,Oberon
Median mortgage repayments,900,--,Condobolin
Households where mortgage repayments are less than 30% of household income,--,97.3,Condobolin
Households with mortgage repayments greater than 30% of household income,--,2.7,Condobolin
Median mortgage repayments,"1,192",--,Cowra
Households where mortgage repayments are less than 30% of household income,--,95.6,Cowra
Households with mortgage repayments greater than 30% of household income,--,4.4,Cowra
Median mortgage repayments,"1,083",--,Cowra Region
Households where mortgage repayments are less than 30% of household income,--,94.4,Cowra Region
Households with mortgage repayments greater than 30% of household income,--,5.6,Cowra Region
Median mortgage repayments,"1,148",--,Forbes
Households where mortgage repayments are less than 30% of household income,--,95.2,Forbes
Households with mortgage repayments greater than 30% of household income,--,4.8,Forbes
Median mortgage repayments,910,--,Grenfell
Households where mortgage repayments are less than 30% of household income,--,96.5,Grenfell
Households with mortgage repayments greater than 30% of household income,--,3.5,Grenfell
Median mortgage repayments,"1,300",--,Parkes (NSW)
Households where mortgage repayments are less than 30% of household income,--,96.4,Parkes (NSW)
Households with mortgage repayments greater than 30% of household income,--,3.6,Parkes (NSW)
Median mortgage repayments,"1,000",--,Parkes Region
Households where mortgage repayments are less than 30% of household income,--,95.9,Parkes Region
Households with mortgage repayments greater than 30% of household income,--,4.1,Parkes Region
Median mortgage repayments,"1,000",--,West Wyalong
Households where mortgage repayments are less than 30% of household income,--,97.0,West Wyalong
Households with mortgage repayments greater than 30% of household income,--,3.0,West Wyalong
Median mortgage repayments,"1,300",--,Lithgow
Households where mortgage repayments are less than 30% of household income,--,96.1,Lithgow
Households with mortgage repayments greater than 30% of household income,--,3.9,Lithgow
Median mortgage repayments,"1,517",--,Lithgow Region
Households where mortgage repayments are less than 30% of household income,--,93.9,Lithgow Region
Households with mortgage repayments greater than 30% of household income,--,6.1,Lithgow Region
Median mortgage repayments,"1,766",--,Mudgee
Households where mortgage repayments are less than 30% of household income,--,94.1,Mudgee
Households with mortgage repayments greater than 30% of household income,--,5.9,Mudgee
Median mortgage repayments,"1,192",--,Mudgee Region - East
Households where mortgage repayments are less than 30% of household income,--,96.4,Mudgee Region - East
Households with mortgage repayments greater than 30% of household income,--,3.6,Mudgee Region - East
Median mortgage repayments,"1,517",--,Mudgee Region - West
Households where mortgage repayments are less than 30% of household income,--,93.6,Mudgee Region - West
Households with mortgage repayments greater than 30% of household income,--,6.4,Mudgee Region - West
Median mortgage repayments,"1,500",--,Blayney
Households where mortgage repayments are less than 30% of household income,--,94.7,Blayney
Households with mortgage repayments greater than 30% of household income,--,5.3,Blayney
Median mortgage repayments,"1,472",--,Orange
Households where mortgage repayments are less than 30% of household income,--,95.3,Orange
Households with mortgage repayments greater than 30% of household income,--,4.7,Orange
Median mortgage repayments,"1,733",--,Orange - North
Households where mortgage repayments are less than 30% of household income,--,93.8,Orange - North
Households with mortgage repayments greater than 30% of household income,--,6.2,Orange - North
Median mortgage repayments,"1,647",--,Orange Region
Households where mortgage repayments are less than 30% of household income,--,93.1,Orange Region
Households with mortgage repayments greater than 30% of household income,--,6.9,Orange Region
Median mortgage repayments,"1,300",--,Grafton
Households where mortgage repayments are less than 30% of household income,--,95.5,Grafton
Households with mortgage repayments greater than 30% of household income,--,4.5,Grafton
Median mortgage repayments,"1,300",--,Grafton Region
Households where mortgage repayments are less than 30% of household income,--,92.6,Grafton Region
Households with mortgage repayments greater than 30% of household income,--,7.4,Grafton Region
Median mortgage repayments,"1,430",--,Maclean - Yamba - Iluka
Households where mortgage repayments are less than 30% of household income,--,95.2,Maclean - Yamba - Iluka
Households with mortgage repayments greater than 30% of household income,--,4.8,Maclean - Yamba - Iluka
Median mortgage repayments,"1,408",--,Bellingen
Households where mortgage repayments are less than 30% of household income,--,93.5,Bellingen
Households with mortgage repayments greater than 30% of household income,--,6.5,Bellingen
Median mortgage repayments,"1,603",--,Coffs Harbour - North
Households where mortgage repayments are less than 30% of household income,--,94.4,Coffs Harbour - North
Households with mortgage repayments greater than 30% of household income,--,5.6,Coffs Harbour - North
Median mortgage repayments,"1,517",--,Coffs Harbour - South
Households where mortgage repayments are less than 30% of household income,--,95.4,Coffs Harbour - South
Households with mortgage repayments greater than 30% of household income,--,4.6,Coffs Harbour - South
Median mortgage repayments,"1,582",--,Coramba - Nana Glen - Bucca
Households where mortgage repayments are less than 30% of household income,--,90.3,Coramba - Nana Glen - Bucca
Households with mortgage repayments greater than 30% of household income,--,9.7,Coramba - Nana Glen - Bucca
Median mortgage repayments,"1,083",--,Dorrigo
Households where mortgage repayments are less than 30% of household income,--,93.9,Dorrigo
Households with mortgage repayments greater than 30% of household income,--,6.1,Dorrigo
Median mortgage repayments,"1,733",--,Korora - Emerald Beach
Households where mortgage repayments are less than 30% of household income,--,92.8,Korora - Emerald Beach
Households with mortgage repayments greater than 30% of household income,--,7.2,Korora - Emerald Beach
Median mortgage repayments,"1,600",--,Sawtell - Boambee
Households where mortgage repayments are less than 30% of household income,--,93.6,Sawtell - Boambee
Households with mortgage repayments greater than 30% of household income,--,6.4,Sawtell - Boambee
Median mortgage repayments,"1,517",--,Urunga
Households where mortgage repayments are less than 30% of household income,--,94.5,Urunga
Households with mortgage repayments greater than 30% of household income,--,5.5,Urunga
Median mortgage repayments,"1,560",--,Woolgoolga - Arrawarra
Households where mortgage repayments are less than 30% of household income,--,94.5,Woolgoolga - Arrawarra
Households with mortgage repayments greater than 30% of household income,--,5.5,Woolgoolga - Arrawarra
Median mortgage repayments,894,--,Bourke - Brewarrina
Households where mortgage repayments are less than 30% of household income,--,97.8,Bourke - Brewarrina
Households with mortgage repayments greater than 30% of household income,--,2.2,Bourke - Brewarrina
Median mortgage repayments,"1,300",--,Cobar
Households where mortgage repayments are less than 30% of household income,--,97.0,Cobar
Households with mortgage repayments greater than 30% of household income,--,3.0,Cobar
Median mortgage repayments,867,--,Coonamble
Households where mortgage repayments are less than 30% of household income,--,97.1,Coonamble
Households with mortgage repayments greater than 30% of household income,--,2.9,Coonamble
Median mortgage repayments,"1,000",--,Nyngan - Warren
Households where mortgage repayments are less than 30% of household income,--,97.2,Nyngan - Warren
Households with mortgage repayments greater than 30% of household income,--,2.8,Nyngan - Warren
Median mortgage repayments,737,--,Walgett - Lightning Ridge
Households where mortgage repayments are less than 30% of household income,--,98.4,Walgett - Lightning Ridge
Households with mortgage repayments greater than 30% of household income,--,1.6,Walgett - Lightning Ridge
Median mortgage repayments,953,--,Broken Hill
Households where mortgage repayments are less than 30% of household income,--,96.9,Broken Hill
Households with mortgage repayments greater than 30% of household income,--,3.1,Broken Hill
Median mortgage repayments,625,--,Far West
Households where mortgage repayments are less than 30% of household income,--,98.0,Far West
Households with mortgage repayments greater than 30% of household income,--,2.0,Far West
Median mortgage repayments,906,--,Coonabarabran
Households where mortgage repayments are less than 30% of household income,--,96.7,Coonabarabran
Households with mortgage repayments greater than 30% of household income,--,3.3,Coonabarabran
Median mortgage repayments,"1,517",--,Dubbo - East
Households where mortgage repayments are less than 30% of household income,--,94.7,Dubbo - East
Households with mortgage repayments greater than 30% of household income,--,5.3,Dubbo - East
Median mortgage repayments,"1,517",--,Dubbo - South
Households where mortgage repayments are less than 30% of household income,--,95.2,Dubbo - South
Households with mortgage repayments greater than 30% of household income,--,4.8,Dubbo - South
Median mortgage repayments,"1,452",--,Dubbo - West
Households where mortgage repayments are less than 30% of household income,--,94.8,Dubbo - West
Households with mortgage repayments greater than 30% of household income,--,5.2,Dubbo - West
Median mortgage repayments,"1,638",--,Dubbo Region
Households where mortgage repayments are less than 30% of household income,--,92.5,Dubbo Region
Households with mortgage repayments greater than 30% of household income,--,7.5,Dubbo Region
Median mortgage repayments,"1,083",--,Gilgandra
Households where mortgage repayments are less than 30% of household income,--,96.0,Gilgandra
Households with mortgage repayments greater than 30% of household income,--,4.0,Gilgandra
Median mortgage repayments,"1,100",--,Narromine
Households where mortgage repayments are less than 30% of household income,--,96.2,Narromine
Households with mortgage repayments greater than 30% of household income,--,3.8,Narromine
Median mortgage repayments,"1,083",--,Wellington
Households where mortgage repayments are less than 30% of household income,--,96.0,Wellington
Households with mortgage repayments greater than 30% of household income,--,4.0,Wellington
Median mortgage repayments,"1,820",--,Branxton - Greta - Pokolbin
Households where mortgage repayments are less than 30% of household income,--,92.1,Branxton - Greta - Pokolbin
Households with mortgage repayments greater than 30% of household income,--,7.9,Branxton - Greta - Pokolbin
Median mortgage repayments,"1,478",--,Cessnock
Households where mortgage repayments are less than 30% of household income,--,94.7,Cessnock
Households with mortgage repayments greater than 30% of household income,--,5.3,Cessnock
Median mortgage repayments,"1,690",--,Cessnock Region
Households where mortgage repayments are less than 30% of household income,--,90.4,Cessnock Region
Households with mortgage repayments greater than 30% of household income,--,9.6,Cessnock Region
Median mortgage repayments,"1,662",--,Dungog
Households where mortgage repayments are less than 30% of household income,--,91.9,Dungog
Households with mortgage repayments greater than 30% of household income,--,8.1,Dungog
Median mortgage repayments,"1,430",--,Kurri Kurri - Abermain
Households where mortgage repayments are less than 30% of household income,--,93.9,Kurri Kurri - Abermain
Households with mortgage repayments greater than 30% of household income,--,6.1,Kurri Kurri - Abermain
Median mortgage repayments,"1,842",--,Singleton
Households where mortgage repayments are less than 30% of household income,--,94.1,Singleton
Households with mortgage repayments greater than 30% of household income,--,5.9,Singleton
Median mortgage repayments,"2,000",--,Singleton Region
Households where mortgage repayments are less than 30% of household income,--,91.1,Singleton Region
Households with mortgage repayments greater than 30% of household income,--,8.9,Singleton Region
Median mortgage repayments,"1,800",--,Maitland
Households where mortgage repayments are less than 30% of household income,--,93.1,Maitland
Households with mortgage repayments greater than 30% of household income,--,6.9,Maitland
Median mortgage repayments,"1,733",--,Maitland - East
Households where mortgage repayments are less than 30% of household income,--,94.3,Maitland - East
Households with mortgage repayments greater than 30% of household income,--,5.7,Maitland - East
Median mortgage repayments,"2,000",--,Maitland - North
Households where mortgage repayments are less than 30% of household income,--,92.6,Maitland - North
Households with mortgage repayments greater than 30% of household income,--,7.4,Maitland - North
Median mortgage repayments,"1,733",--,Maitland - West
Households where mortgage repayments are less than 30% of household income,--,93.5,Maitland - West
Households with mortgage repayments greater than 30% of household income,--,6.5,Maitland - West
Median mortgage repayments,"1,760",--,Thornton - Millers Forest
Households where mortgage repayments are less than 30% of household income,--,91.5,Thornton - Millers Forest
Households with mortgage repayments greater than 30% of household income,--,8.5,Thornton - Millers Forest
Median mortgage repayments,"1,840",--,Anna Bay
Households where mortgage repayments are less than 30% of household income,--,93.4,Anna Bay
Households with mortgage repayments greater than 30% of household income,--,6.6,Anna Bay
Median mortgage repayments,"1,517",--,Lemon Tree Passage - Tanilba Bay
Households where mortgage repayments are less than 30% of household income,--,92.5,Lemon Tree Passage - Tanilba Bay
Households with mortgage repayments greater than 30% of household income,--,7.5,Lemon Tree Passage - Tanilba Bay
Median mortgage repayments,"1,733",--,Nelson Bay Peninsula
Households where mortgage repayments are less than 30% of household income,--,94.7,Nelson Bay Peninsula
Households with mortgage repayments greater than 30% of household income,--,5.3,Nelson Bay Peninsula
Median mortgage repayments,"1,463",--,Raymond Terrace
Households where mortgage repayments are less than 30% of household income,--,94.6,Raymond Terrace
Households with mortgage repayments greater than 30% of household income,--,5.4,Raymond Terrace
Median mortgage repayments,"1,950",--,Seaham - Woodville
Households where mortgage repayments are less than 30% of household income,--,89.9,Seaham - Woodville
Households with mortgage repayments greater than 30% of household income,--,10.1,Seaham - Woodville
Median mortgage repayments,"1,517",--,Tea Gardens - Hawks Nest
Households where mortgage repayments are less than 30% of household income,--,95.9,Tea Gardens - Hawks Nest
Households with mortgage repayments greater than 30% of household income,--,4.1,Tea Gardens - Hawks Nest
Median mortgage repayments,"1,733",--,Williamtown - Medowie - Karuah
Households where mortgage repayments are less than 30% of household income,--,91.8,Williamtown - Medowie - Karuah
Households with mortgage repayments greater than 30% of household income,--,8.2,Williamtown - Medowie - Karuah
Median mortgage repayments,"1,668",--,Muswellbrook
Households where mortgage repayments are less than 30% of household income,--,95.5,Muswellbrook
Households with mortgage repayments greater than 30% of household income,--,4.5,Muswellbrook
Median mortgage repayments,"1,943",--,Muswellbrook Region
Households where mortgage repayments are less than 30% of household income,--,94.8,Muswellbrook Region
Households with mortgage repayments greater than 30% of household income,--,5.2,Muswellbrook Region
Median mortgage repayments,"1,800",--,Scone
Households where mortgage repayments are less than 30% of household income,--,94.3,Scone
Households with mortgage repayments greater than 30% of household income,--,5.7,Scone
Median mortgage repayments,"1,517",--,Scone Region
Households where mortgage repayments are less than 30% of household income,--,94.3,Scone Region
Households with mortgage repayments greater than 30% of household income,--,5.7,Scone Region
Median mortgage repayments,"1,733",--,Dapto - Avondale
Households where mortgage repayments are less than 30% of household income,--,92.3,Dapto - Avondale
Households with mortgage repayments greater than 30% of household income,--,7.7,Dapto - Avondale
Median mortgage repayments,"1,950",--,Horsley - Kembla Grange
Households where mortgage repayments are less than 30% of household income,--,89.1,Horsley - Kembla Grange
Households with mortgage repayments greater than 30% of household income,--,10.9,Horsley - Kembla Grange
Median mortgage repayments,"1,871",--,Unanderra - Mount Kembla
Households where mortgage repayments are less than 30% of household income,--,93.7,Unanderra - Mount Kembla
Households with mortgage repayments greater than 30% of household income,--,6.3,Unanderra - Mount Kembla
Median mortgage repayments,"1,625",--,Berkeley - Lake Heights - Cringila
Households where mortgage repayments are less than 30% of household income,--,92.7,Berkeley - Lake Heights - Cringila
Households with mortgage repayments greater than 30% of household income,--,7.3,Berkeley - Lake Heights - Cringila
Median mortgage repayments,"1,625",--,Port Kembla - Warrawong
Households where mortgage repayments are less than 30% of household income,--,95.5,Port Kembla - Warrawong
Households with mortgage repayments greater than 30% of household income,--,4.5,Port Kembla - Warrawong
Median mortgage repayments,"1,733",--,Windang - Primbee
Households where mortgage repayments are less than 30% of household income,--,95.7,Windang - Primbee
Households with mortgage repayments greater than 30% of household income,--,4.3,Windang - Primbee
Median mortgage repayments,"1,950",--,Albion Park - Macquarie Pass
Households where mortgage repayments are less than 30% of household income,--,90.0,Albion Park - Macquarie Pass
Households with mortgage repayments greater than 30% of household income,--,10.0,Albion Park - Macquarie Pass
Median mortgage repayments,"1,700",--,Albion Park Rail
Households where mortgage repayments are less than 30% of household income,--,91.8,Albion Park Rail
Households with mortgage repayments greater than 30% of household income,--,8.2,Albion Park Rail
Median mortgage repayments,"1,983",--,Kiama
Households where mortgage repayments are less than 30% of household income,--,94.4,Kiama
Households with mortgage repayments greater than 30% of household income,--,5.6,Kiama
Median mortgage repayments,"2,000",--,Kiama Downs - Minnamurra
Households where mortgage repayments are less than 30% of household income,--,93.8,Kiama Downs - Minnamurra
Households with mortgage repayments greater than 30% of household income,--,6.2,Kiama Downs - Minnamurra
Median mortgage repayments,"2,130",--,Kiama Hinterland - Gerringong
Households where mortgage repayments are less than 30% of household income,--,95.2,Kiama Hinterland - Gerringong
Households with mortgage repayments greater than 30% of household income,--,4.8,Kiama Hinterland - Gerringong
Median mortgage repayments,"2,167",--,Shellharbour - Flinders
Households where mortgage repayments are less than 30% of household income,--,91.2,Shellharbour - Flinders
Households with mortgage repayments greater than 30% of household income,--,8.8,Shellharbour - Flinders
Median mortgage repayments,"1,733",--,Shellharbour - Oak Flats
Households where mortgage repayments are less than 30% of household income,--,92.9,Shellharbour - Oak Flats
Households with mortgage repayments greater than 30% of household income,--,7.1,Shellharbour - Oak Flats
Median mortgage repayments,"1,647",--,Warilla
Households where mortgage repayments are less than 30% of household income,--,94.6,Warilla
Households with mortgage repayments greater than 30% of household income,--,5.4,Warilla
Median mortgage repayments,"2,001",--,Balgownie - Fairy Meadow
Households where mortgage repayments are less than 30% of household income,--,94.4,Balgownie - Fairy Meadow
Households with mortgage repayments greater than 30% of household income,--,5.6,Balgownie - Fairy Meadow
Median mortgage repayments,"1,950",--,Corrimal - Tarrawanna - Bellambi
